Strain : Axial Gauge Length (Strain Source),2,in,
Strain : Time at Removal (Strain Source),,ms,
,,,
Time,Extension,Load,Strain 1
(sec),(in),(lbf),(%)
66.9,0.1115,"9,644.68",1.50929
67,0.11166,"9,645.07",1.51656
67.10001,0.11183,"9,647.10",1.52393
67.20001,0.11199,"9,647.42",1.5313
67.3,0.11217,"9,649.67",1.53879
67.4,0.11233,"9,651.31",1.54626
67.5,0.1125,"9,651.94",1.55367
67.60001,0.11266,"9,653.21",1.56112
67.70001,0.11283,"9,653.72",1.56832
67.8,0.113,"9,656.13",1.57578
67.9,0.11317,"9,657.50",1.58317
68,0.11334,"9,659.11",1.5906
68.10001,0.1135,"9,659.67",1.59801
68.20001,0.11366,"9,660.27",1.60544
68.3,0.11383,"9,661.98",1.61259
68.4,0.114,"9,663.08",1.61993
68.5,0.11417,"9,664.86",1.62735
68.60001,0.11433,"9,666.74",1.63486
68.70001,0.1145,"9,667.12",1.64215
68.8,0.11466,"9,668.75",1.64942
68.9,0.11483,"9,669.35",1.65687
69,0.115,"9,671.34",1.66409
69.10001,0.11517,"9,673.57",1.67157
69.20001,0.11533,"9,674.25",1.67901
69.3,0.1155,"9,675.83",1.68645
69.4,0.11566,"9,675.95",1.69367
69.5,0.11583,"9,677.38",1.70096
69.60001,0.116,"9,679.34",1.70838
69.70001,0.11617,"9,681.03",1.71573
69.8,0.11633,"9,682.27",1.72317
69.9,0.1165,"9,682.65",1.73048
70,0.11667,"9,684.19",1.73783
70.10001,0.11683,"9,685.43",1.7452
70.20001,0.117,"9,686.97",1.7525
70.3,0.11717,"9,689.15",1.75993
70.4,0.11733,"9,689.14",1.76733
70.5,0.1175,"9,690.41",1.77455
70.60001,0.11766,"9,691.42",1.78194
70.70001,0.11783,"9,692.67",1.78929
70.8,0.118,"9,695.23",1.79676
70.9,0.11817,"9,695.88",1.80397
71,0.11833,"9,697.27",1.81149
71.10001,0.11849,"9,697.73",1.81874
71.20001,0.11866,"9,698.77",1.82598
71.3,0.11883,"9,701.30",1.83342
71.4,0.119,"9,701.94",1.84077
71.5,0.11917,"9,703.80",1.84817
71.60001,0.11933,"9,704.09",1.85535
71.70001,0.1195,"9,705.50",1.86272
71.8,0.11966,"9,707.19",1.87018
71.9,0.11983,"9,708.77",1.8776
72,0.12001,"9,710.65",1.88503
72.10001,0.12016,"9,710.25",1.89236
72.20001,0.12033,"9,711.28",1.89965
72.3,0.1205,"9,713.18",1.90704
72.4,0.12066,"9,714.37",1.91431
72.5,0.12084,"9,716.82",1.92168
72.60001,0.121,"9,717.26",1.92913
72.70001,0.12117,"9,717.79",1.93649
72.8,0.12133,"9,718.90",1.94385
72.9,0.1215,"9,719.92",1.95103
73,0.12167,"9,722.94",1.95846
73.10001,0.12183,"9,723.76",1.966
73.20001,0.122,"9,724.84",1.97326
73.3,0.12216,"9,725.55",1.98057
73.4,0.12233,"9,726.46",1.98794
73.5,0.1225,"9,728.35",1.99535
73.60001,0.12266,"9,729.58",2.00261
73.70001,0.12284,"9,731.09",2.01001
73.8,0.123,"9,731.89",2.01748
73.9,0.12316,"9,732.72",2.02481
74,0.12333,"9,734.53",2.03214
74.10001,0.1235,"9,735.37",2.0394
74.20001,0.12367,"9,737.77",2.04702
74.3,0.12383,"9,738.45",2.05445
74.4,0.124,"9,738.81",2.06163
74.5,0.12416,"9,740.45",2.06898
74.60001,0.12433,"9,740.57",2.07619
74.70001,0.1245,"9,742.98",2.08358
74.8,0.12467,"9,744.35",2.091
74.9,0.12483,"9,745.16",2.09823
75,0.125,"9,746.49",2.10567
75.10001,0.12516,"9,747.32",2.11292
75.20001,0.12533,"9,749.48",2.12041
75.3,0.1255,"9,750.20",2.12778
75.4,0.12567,"9,751.57",2.13521
75.5,0.12583,"9,752.34",2.14257
75.60001,0.126,"9,753.25",2.14984
75.70001,0.12617,"9,754.90",2.15709
75.8,0.12633,"9,755.90",2.16451
75.9,0.1265,"9,757.38",2.17187
76,0.12666,"9,758.38",2.17917
76.10001,0.12683,"9,758.74",2.18639
76.20001,0.12699,"9,760.71",2.19377
76.3,0.12716,"9,761.26",2.20097
76.4,0.12733,"9,763.28",2.20838
76.5,0.1275,"9,765.05",2.21568
76.60001,0.12766,"9,765.26",2.22297
76.70001,0.12783,"9,767.05",2.23042
76.8,0.12799,"9,767.36",2.23768
76.9,0.12817,"9,769.15",2.24497
77,0.12833,"9,770.69",2.25239
77.10001,0.1285,"9,772.00",2.25966
77.20001,0.12867,"9,773.09",2.26714
77.3,0.12883,"9,773.24",2.27445
77.4,0.129,"9,774.87",2.28166
77.5,0.12916,"9,776.46",2.28914
77.60001,0.12933,"9,777.55",2.29649
77.70001,0.1295,"9,779.06",2.3039
77.8,0.12966,"9,778.78",2.31111
77.9,0.12983,"9,780.48",2.31844
78,0.13,"9,781.93",2.3259
78.10001,0.13016,"9,782.81",2.33321
78.20001,0.13034,"9,784.99",2.34057
78.3,0.1305,"9,785.13",2.34805
78.4,0.13067,"9,786.43",2.35533
78.5,0.13083,"9,787.11",2.36256
78.60001,0.131,"9,788.16",2.36987
78.70001,0.13117,"9,790.22",2.37731
78.8,0.13133,"9,790.75",2.38461
78.9,0.1315,"9,792.16",2.39207
79,0.13166,"9,792.72",2.39922
79.10001,0.13183,"9,794.09",2.40646
79.20001,0.132,"9,795.61",2.41385
79.3,0.13217,"9,796.69",2.4213
79.4,0.13233,"9,798.64",2.4287
79.5,0.13249,"9,798.29",2.43599
79.60001,0.13266,"9,799.37",2.44329
79.70001,0.13283,"9,801.47",2.4508
79.8,0.133,"9,802.66",2.45807
79.9,0.13317,"9,804.16",2.46542
80,0.13333,"9,804.19",2.47279
80.10001,0.1335,"9,805.23",2.48007
80.20001,0.13366,"9,806.20",2.48735
80.3,0.13383,"9,807.69",2.49457
80.4,0.134,"9,810.06",2.50201
80.50001,0.13417,"9,809.94",2.50937
80.60001,0.13433,"9,811.01",2.51662
80.70001,0.1345,"9,812.23",2.52395
80.8,0.13466,"9,812.57",2.53121
80.9,0.13483,"9,815.23",2.53865
81.00001,0.135,"9,816.19",2.54604
81.10001,0.13517,"9,817.03",2.55327
81.20001,0.13533,"9,817.39",2.56054
81.3,0.13549,"9,818.41",2.56786
81.4,0.13566,"9,820.05",2.57527
81.50001,0.13583,"9,820.66",2.58241
81.60001,0.136,"9,822.77",2.58981
81.70001,0.13616,"9,822.98",2.59719
81.8,0.13633,"9,823.78",2.60451
81.9,0.1365,"9,825.60",2.61173
82.00001,0.13666,"9,826.49",2.61907
82.10001,0.13684,"9,829.11",2.62669
82.20001,0.137,"9,829.22",2.63404
82.3,0.13717,"9,829.89",2.64134
82.4,0.13733,"9,830.97",2.6486
82.50001,0.13749,"9,830.98",2.65602
82.60001,0.13767,"9,833.44",2.66342
82.70001,0.13783,"9,834.58",2.67082
82.8,0.138,"9,834.97",2.67814
82.9,0.13817,"9,836.08",2.6856
83.00001,0.13833,"9,836.28",2.69282
83.10001,0.1385,"9,838.14",2.70012
83.20001,0.13866,"9,838.82",2.70744
83.3,0.13884,"9,840.38",2.71478
83.4,0.139,"9,841.24",2.72208
83.50001,0.13916,"9,842.07",2.72937
83.60001,0.13933,"9,843.44",2.73671
83.70001,0.1395,"9,844.17",2.74399
83.8,0.13967,"9,845.71",2.75139
83.9,0.13983,"9,847.17",2.75883
84.00001,0.13999,"9,847.15",2.76611
84.10001,0.14016,"9,848.74",2.77347
84.20001,0.14033,"9,849.23",2.78091
84.3,0.1405,"9,851.19",2.78831
84.4,0.14067,"9,852.41",2.79567
84.50001,0.14083,"9,852.78",2.803
84.60001,0.141,"9,854.50",2.81045
84.70001,0.14116,"9,854.27",2.81771
84.8,0.14133,"9,855.68",2.82508
84.9,0.1415,"9,857.01",2.83241
85.00001,0.14167,"9,857.85",2.83978
85.10001,0.14183,"9,858.92",2.84716
85.20001,0.142,"9,859.06",2.85442
85.3,0.14216,"9,860.65",2.86161
85.4,0.14233,"9,861.56",2.86914
85.50001,0.1425,"9,863.31",2.87644
85.60001,0.14267,"9,864.38",2.88376
85.70001,0.14283,"9,864.70",2.89116
85.8,0.143,"9,866.18",2.89852
85.9,0.14316,"9,866.89",2.90594
86.00001,0.14333,"9,868.01",2.91329
86.10001,0.1435,"9,869.83",2.92055
86.20001,0.14366,"9,869.69",2.92809
86.3,0.14383,"9,871.18",2.93548
86.4,0.14399,"9,871.42",2.94271
86.50001,0.14417,"9,872.85",2.95003
86.60001,0.14433,"9,874.62",2.95751
86.70001,0.1445,"9,875.17",2.96494
86.8,0.14467,"9,876.46",2.97228
86.9,0.14483,"9,876.57",2.97961
87.00001,0.145,"9,877.60",2.98691
87.10001,0.14517,"9,879.47",2.99448
87.20001,0.14534,"9,880.50",3.00181
87.3,0.1455,"9,881.65",3.00925
87.4,0.14567,"9,881.33",3.01666
87.50001,0.14583,"9,882.31",3.02402
87.60001,0.14599,"9,883.53",3.03136
87.70001,0.14616,"9,884.33",3.03863
87.8,0.14634,"9,886.80",3.04606
87.9,0.1465,"9,886.31",3.05353
88.00001,0.14667,"9,887.39",3.06076
88.10001,0.14683,"9,888.68",3.06807
88.20001,0.147,"9,889.26",3.07555
88.3,0.14717,"9,891.65",3.08302
88.4,0.14733,"9,891.96",3.09038
88.50001,0.1475,"9,892.67",3.09784
88.60001,0.14766,"9,892.85",3.10515
88.70001,0.14783,"9,893.82",3.1126
88.8,0.148,"9,895.36",3.12004
88.9,0.14816,"9,896.41",3.12735
89.00001,0.14833,"9,897.60",3.13482
89.10001,0.14849,"9,897.79",3.14237
89.20001,0.14866,"9,898.01",3.14955
89.3,0.14883,"9,899.87",3.15697
89.4,0.149,"9,900.70",3.16426
89.50001,0.14917,"9,902.53",3.17177
89.60001,0.14933,"9,902.67",3.1793
89.70001,0.1495,"9,902.68",3.18642
89.8,0.14966,"9,904.39",3.19383
89.9,0.14983,"9,904.83",3.20129
90.00001,0.15,"9,907.19",3.20873
90.10001,0.15017,"9,907.27",3.21617
90.20001,0.15033,"9,907.99",3.22352
90.3,0.1505,"9,908.56",3.23082
90.4,0.15066,"9,909.51",3.23829
90.50001,0.15083,"9,911.16",3.24573
90.60001,0.151,"9,912.08",3.25302
90.70001,0.15117,"9,913.07",3.26063
90.8,0.15133,"9,913.17",3.268
90.9,0.15149,"9,913.83",3.27533
91.00001,0.15167,"9,915.31",3.28271
91.10001,0.15183,"9,916.08",3.29014
91.20001,0.152,"9,917.44",3.29764
91.3,0.15217,"9,917.54",3.30496
91.4,0.15233,"9,917.51",3.3122
91.50001,0.1525,"9,919.27",3.31967
91.60001,0.15266,"9,919.96",3.32706
91.70001,0.15284,"9,921.60",3.33439
91.8,0.153,"9,922.28",3.34186
91.9,0.15316,"9,922.55",3.34922
92.00001,0.15333,"9,924.15",3.35677
92.10001,0.15349,"9,923.98",3.3641
92.20001,0.15367,"9,925.98",3.37141
92.3,0.15383,"9,927.05",3.37895
92.4,0.154,"9,927.59",3.38647
92.50001,0.15417,"9,928.52",3.39385
92.60001,0.15433,"9,928.62",3.40121
92.70001,0.1545,"9,929.90",3.40872
92.8,0.15466,"9,930.78",3.41602
92.9,0.15483,"9,931.59",3.42346
93.00001,0.155,"9,932.87",3.43092
93.10001,0.15516,"9,932.22",3.43814
93.20001,0.15533,"9,933.76",3.4458
93.3,0.1555,"9,934.60",3.45315
93.4,0.15566,"9,935.61",3.46046
93.50001,0.15583,"9,937.22",3.46802
93.60001,0.156,"9,936.95",3.47546
93.70001,0.15617,"9,938.42",3.48281
93.8,0.15633,"9,938.98",3.49015
93.9,0.1565,"9,940.07",3.49746
94.00001,0.15667,"9,941.57",3.50513
94.10001,0.15683,"9,941.88",3.51256
94.20001,0.157,"9,942.71",3.51988
94.3,0.15716,"9,943.19",3.52736
94.4,0.15733,"9,944.29",3.53484
94.50001,0.1575,"9,945.77",3.54226
94.60001,0.15767,"9,946.49",3.54988
94.70001,0.15783,"9,947.18",3.55726
94.8,0.15799,"9,947.25",3.56471
94.9,0.15817,"9,948.15",3.57216
95.00001,0.15833,"9,949.31",3.5796
95.10001,0.1585,"9,950.43",3.58698
95.20001,0.15867,"9,951.41",3.59464
95.3,0.15883,"9,950.86",3.60192
95.4,0.159,"9,951.68",3.60938
95.50001,0.15916,"9,952.33",3.61671
95.60001,0.15933,"9,954.09",3.62401
95.70001,0.1595,"9,955.44",3.63173
95.8,0.15967,"9,955.17",3.63907
95.9,0.15983,"9,956.23",3.64643
96.00001,0.16,"9,956.66",3.65402
96.10001,0.16016,"9,957.56",3.66132
96.20001,0.16033,"9,959.61",3.66886
96.3,0.1605,"9,959.93",3.67635
96.4,0.16067,"9,960.57",3.68368
96.50001,0.16083,"9,960.92",3.69123
96.60001,0.161,"9,960.85",3.69861
96.70001,0.16116,"9,962.47",3.70588
96.8,0.16133,"9,963.25",3.71339
96.9,0.1615,"9,964.50",3.72092
97.00001,0.16166,"9,964.40",3.72828
97.10001,0.16183,"9,964.69",3.7357
97.20001,0.162,"9,966.25",3.74311
97.3,0.16216,"9,966.86",3.75071
97.4,0.16234,"9,968.38",3.75818
97.50001,0.1625,"9,968.22",3.76542
97.60001,0.16267,"9,968.83",3.77301
97.70001,0.16283,"9,969.54",3.78057
97.8,0.163,"9,970.18",3.78782
97.9,0.16317,"9,971.99",3.79532
98.00001,0.16333,"9,971.88",3.80276
98.10001,0.1635,"9,972.43",3.81023
98.20001,0.16366,"9,973.30",3.81766
98.3,0.16383,"9,973.56",3.82486
98.4,0.164,"9,975.59",3.8324
98.50001,0.16417,"9,975.97",3.84016
98.60001,0.16433,"9,976.58",3.84745
98.70001,0.1645,"9,977.02",3.85499
98.8,0.16466,"9,977.05",3.86244
98.9,0.16483,"9,978.75",3.86988
99.00001,0.165,"9,979.32",3.87743
99.10001,0.16517,"9,980.91",3.8849
99.20001,0.16533,"9,980.56",3.89234
99.3,0.16549,"9,980.69",3.89995
99.4,0.16566,"9,981.97",3.90731
99.50001,0.16583,"9,982.14",3.91473
99.60001,0.166,"9,983.81",3.92238
99.70001,0.16617,"9,984.23",3.92978
99.8,0.16633,"9,984.52",3.93721
99.9,0.1665,"9,985.49",3.94478
100.00001,0.16666,"9,985.34",3.95203
100.10001,0.16683,"9,987.38",3.95971
100.20001,0.167,"9,988.01",3.96721
100.3,0.16717,"9,988.20",3.97456
100.4,0.16733,"9,989.35",3.98214
100.50001,0.1675,"9,988.94",3.9895
100.60001,0.16766,"9,989.55",3.99694
100.70001,0.16783,"9,991.00",4.00462
100.8,0.168,"9,992.25",4.01193
100.9,0.16817,"9,992.52",4.01947
101.00001,0.16833,"9,992.72",4.02709
101.10001,0.1685,"9,993.59",4.03435
101.20001,0.16866,"9,993.66",4.04171
101.3,0.16883,"9,995.07",4.04924
101.4,0.169,"9,995.93",4.05679
101.50001,0.16916,"9,996.28",4.06432
101.60001,0.16933,"9,997.32",4.07167
101.70001,0.1695,"9,997.03",4.07906
101.8,0.16967,"9,998.15",4.0868
101.9,0.16984,"9,999.26",4.09419
102.00001,0.17,"9,999.38",4.10153
102.10001,0.17016,"10,000.66",4.10924
102.20001,0.17033,"10,000.25",4.11665
102.3,0.1705,"10,001.26",4.12402
102.4,0.17067,"10,003.11",4.13159
102.50001,0.17083,"10,003.01",4.13906
102.60001,0.171,"10,003.70",4.14677
102.70001,0.17116,"10,003.56",4.15406
102.8,0.17133,"10,004.86",4.16142
102.9,0.1715,"10,005.99",4.1692
103.00001,0.17167,"10,006.67",4.1767
103.10001,0.17184,"10,007.79",4.18421
103.20001,0.172,"10,006.46",4.19172
103.3,0.17216,"10,007.17",4.19912
103.4,0.17233,"10,007.90",4.20658
103.50001,0.1725,"10,009.09",4.21403
103.60001,0.17267,"10,010.64",4.22163
103.70001,0.17283,"10,010.38",4.22933
103.8,0.173,"10,010.84",4.23672
103.9,0.17316,"10,010.69",4.24397
104.00001,0.17333,"10,011.43",4.25162
104.10001,0.1735,"10,013.04",4.25917
104.20001,0.17367,"10,013.56",4.2666
104.3,0.17383,"10,014.47",4.2743
104.4,0.17399,"10,013.71",4.28156
104.50001,0.17416,"10,014.10",4.28901
104.60001,0.17433,"10,015.56",4.29662
104.70001,0.1745,"10,015.61",4.30385
104.8,0.17467,"10,017.37",4.31155
104.9,0.17483,"10,017.15",4.31895
105.00001,0.175,"10,017.51",4.32621
105.10001,0.17516,"10,018.58",4.33395
105.20001,0.17533,"10,019.09",4.34134
105.3,0.17551,"10,020.97",4.34893
105.4,0.17567,"10,020.35",4.35664
105.50001,0.17583,"10,020.67",4.36402
105.60001,0.176,"10,021.42",4.37149
105.70001,0.17616,"10,021.74",4.37894
105.8,0.17633,"10,022.95",4.38645
105.9,0.1765,"10,023.30",4.39421
106.00001,0.17667,"10,023.53",4.40149
106.10001,0.17683,"10,023.73",4.409
106.20001,0.177,"10,024.05",4.41646
106.3,0.17717,"10,025.57",4.42404
106.4,0.17733,"10,025.78",4.43159
106.50001,0.1775,"10,027.01",4.43926
106.60001,0.17766,"10,026.76",4.44668
106.70001,0.17783,"10,026.31",4.45418
106.8,0.178,"10,027.76",4.46159
106.9,0.17816,"10,028.18",4.46893
107.00001,0.17834,"10,029.76",4.47668
107.10001,0.1785,"10,029.42",4.48415
107.20001,0.17866,"10,029.68",4.4915
107.3,0.17883,"10,030.49",4.49908
107.4,0.17899,"10,030.93",4.50656
107.50001,0.17917,"10,032.91",4.51409
107.60001,0.17933,"10,033.09",4.5218
107.70001,0.1795,"10,032.87",4.52913
107.8,0.17967,"10,033.51",4.53677
107.9,0.17983,"10,033.55",4.5443
108.00001,0.18,"10,034.94",4.55177
108.10001,0.18017,"10,035.32",4.55942
108.20001,0.18034,"10,035.56",4.56689
108.3,0.1805,"10,035.73",4.57432
108.4,0.18066,"10,035.64",4.58186
108.50001,0.18083,"10,036.93",4.58937
108.60001,0.181,"10,037.49",4.59691
108.70001,0.18117,"10,038.30",4.60457
108.8,0.18133,"10,038.91",4.61203
108.9,0.18149,"10,038.68",4.61954
109.00001,0.18166,"10,039.74",4.62717
109.10001,0.18183,"10,039.61",4.63454
109.20001,0.182,"10,040.99",4.64225
109.3,0.18217,"10,041.78",4.64989
109.4,0.18233,"10,041.45",4.65732
109.50001,0.1825,"10,042.26",4.66498
109.60001,0.18266,"10,041.91",4.67248
109.70001,0.18283,"10,042.70",4.68015
109.8,0.183,"10,043.97",4.68777
109.9,0.18317,"10,043.80",4.69517
110.00001,0.18333,"10,044.69",4.70294
110.10001,0.18349,"10,044.29",4.71049
110.20001,0.18366,"10,045.07",4.71779
110.3,0.18383,"10,045.75",4.72549
110.4,0.184,"10,046.24",4.73299
110.50001,0.18417,"10,047.27",4.74058
110.60001,0.18433,"10,046.43",4.74815
110.70001,0.1845,"10,047.32",4.75564
110.8,0.18466,"10,047.51",4.76331
110.9,0.18483,"10,048.34",4.77083
111.00001,0.185,"10,048.90",4.77823
111.10001,0.18516,"10,048.93",4.78597
111.20001,0.18533,"10,049.96",4.79362
111.3,0.18549,"10,049.68",4.80092
111.4,0.18567,"10,050.99",4.8086
111.50001,0.18583,"10,051.85",4.81631
111.60001,0.186,"10,051.84",4.82383
111.70001,0.18617,"10,052.37",4.83143
111.8,0.18633,"10,052.29",4.83897
111.9,0.1865,"10,052.24",4.84657
112.00001,0.18667,"10,053.74",4.85422
112.10001,0.18683,"10,053.92",4.86171
112.20001,0.187,"10,054.74",4.86944
112.3,0.18716,"10,053.93",4.87695
112.4,0.18733,"10,054.13",4.88431
112.50001,0.1875,"10,055.09",4.89203
112.60001,0.18766,"10,056.14",4.89959
112.70001,0.18784,"10,057.55",4.90729
112.8,0.188,"10,056.65",4.91485
112.90001,0.18816,"10,056.68",4.92235
113.00001,0.18833,"10,057.64",4.93015
113.10001,0.1885,"10,058.27",4.93767
113.20001,0.18867,"10,059.62",4.94527
113.3,0.18883,"10,059.00",4.95306
113.40001,0.189,"10,059.24",4.9606
113.50001,0.18916,"10,059.27",4.96816
113.60001,0.18933,"10,059.27",4.97559
113.70001,0.1895,"10,061.13",4.98338
113.8,0.18967,"10,060.89",4.9911
113.90001,0.18984,"10,061.38",4.9986
114.00001,0.19,"10,061.79",5.00616
114.10001,0.19016,"10,061.72",5.01401
114.20001,0.19033,"10,062.76",5.02155
114.3,0.1905,"10,062.80",5.02899
114.40001,0.19067,"10,063.62",5.03674
114.50001,0.19083,"10,063.29",5.04435
114.60001,0.191,"10,063.39",5.05188
114.70001,0.19116,"10,063.88",5.05956
114.8,0.19133,"10,064.49",5.06702
114.90001,0.1915,"10,065.50",5.07486
115.00001,0.19166,"10,065.30",5.08242
115.10001,0.19183,"10,065.15",5.08978
115.20001,0.19199,"10,066.15",5.09772
115.3,0.19216,"10,066.05",5.10514
115.40001,0.19233,"10,067.71",5.11283
115.50001,0.1925,"10,067.67",5.12053
115.60001,0.19267,"10,067.80",5.12815
115.70001,0.19283,"10,068.45",5.13577
115.8,0.193,"10,068.06",5.14328
115.90001,0.19317,"10,069.01",5.15096
116.00001,0.19333,"10,069.14",5.1588
116.10001,0.1935,"10,069.20",5.16639
116.20001,0.19366,"10,069.50",5.17388
116.3,0.19383,"10,069.87",5.18172
116.40001,0.194,"10,070.22",5.18917
116.50001,0.19417,"10,070.57",5.19676
116.60001,0.19434,"10,071.29",5.20449
116.70001,0.1945,"10,070.99",5.21207
116.8,0.19466,"10,071.07",5.21975
116.90001,0.19483,"10,072.17",5.22726
117.00001,0.195,"10,071.90",5.23473
117.10001,0.19517,"10,073.20",5.24276
117.20001,0.19534,"10,073.72",5.25036
117.3,0.1955,"10,073.18",5.25795
117.40001,0.19566,"10,074.17",5.26569
117.50001,0.19583,"10,073.76",5.27318
117.60001,0.196,"10,074.83",5.28095
117.70001,0.19617,"10,075.27",5.2886
117.8,0.19633,"10,075.21",5.29625
117.90001,0.1965,"10,075.69",5.30411
118.00001,0.19666,"10,075.18",5.31156
118.10001,0.19683,"10,076.26",5.31926
118.20001,0.197,"10,076.55",5.327
118.3,0.19717,"10,077.07",5.3346
118.40001,0.19733,"10,077.18",5.34237
118.50001,0.1975,"10,076.67",5.35006
118.60001,0.19767,"10,077.37",5.35751
118.70001,0.19783,"10,077.29",5.36512
118.8,0.198,"10,077.76",5.37265
118.90001,0.19817,"10,079.09",5.38043
119.00001,0.19833,"10,078.57",5.38803
119.10001,0.1985,"10,079.19",5.39551
119.20001,0.19866,"10,079.04",5.40337
119.3,0.19883,"10,079.62",5.41102
119.40001,0.199,"10,080.54",5.4186
119.50001,0.19916,"10,080.59",5.4264
119.60001,0.19933,"10,080.96",5.43414
119.70001,0.19949,"10,080.71",5.44165
119.8,0.19967,"10,081.61",5.44945
119.90001,0.19983,"10,082.09",5.45707
120.00001,0.2,"10,082.12",5.465
120.10001,0.20017,"10,082.84",5.47267
120.20001,0.20033,"10,081.85",5.48014
120.3,0.2005,"10,082.21",5.48787
120.40001,0.20066,"10,083.18",5.49572
120.50001,0.20083,"10,083.03",5.50324
120.60001,0.201,"10,083.82",5.51106
120.70001,0.20116,"10,083.20",5.51869
120.8,0.20133,"10,083.55",5.5264
120.90001,0.2015,"10,084.20",5.53404
121.00001,0.20166,"10,084.23",5.54157
121.10001,0.20183,"10,085.65",5.54958
121.20001,0.202,"10,084.47",5.55711
121.3,0.20216,"10,084.58",5.56457
121.40001,0.20233,"10,085.04",5.57247
121.50001,0.2025,"10,085.42",5.5802
121.60001,0.20267,"10,086.93",5.58792
121.70001,0.20283,"10,087.06",5.59559
121.8,0.203,"10,086.85",5.60334
121.90001,0.20316,"10,086.63",5.61118
122.00001,0.20333,"10,086.51",5.61873
122.10001,0.2035,"10,087.53",5.62637
122.20001,0.20367,"10,087.67",5.63426
122.3,0.20384,"10,088.29",5.64191
122.40001,0.204,"10,087.53",5.64954
122.50001,0.20416,"10,087.28",5.65726
122.60001,0.20433,"10,087.98",5.66499
122.70001,0.2045,"10,088.46",5.67279
122.8,0.20467,"10,089.75",5.68051
122.90001,0.20483,"10,088.76",5.68819
123.00001,0.205,"10,088.72",5.69598
123.10001,0.20517,"10,089.22",5.70367
123.20001,0.20533,"10,089.00",5.71123
123.3,0.2055,"10,090.65",5.71914
123.40001,0.20567,"10,090.36",5.72681
123.50001,0.20583,"10,090.34",5.73461
123.60001,0.206,"10,090.53",5.74239
123.70001,0.20616,"10,090.57",5.74991
123.8,0.20633,"10,091.38",5.75778
123.90001,0.2065,"10,091.15",5.76547
124.00001,0.20667,"10,091.53",5.77336
124.10001,0.20683,"10,091.60",5.78111
124.20001,0.20699,"10,091.44",5.78868
124.3,0.20716,"10,092.47",5.79658
124.40001,0.20733,"10,092.17",5.80438
124.50001,0.2075,"10,093.06",5.81203
124.60001,0.20766,"10,092.45",5.81989
124.70001,0.20783,"10,092.40",5.82763
124.8,0.208,"10,093.28",5.83545
124.90001,0.20816,"10,092.91",5.84325
125.00001,0.20834,"10,094.00",5.85087
125.10001,0.2085,"10,093.59",5.8589
125.20001,0.20866,"10,093.27",5.86654
125.3,0.20883,"10,093.87",5.87419
125.40001,0.20899,"10,093.24",5.88207
125.50001,0.20917,"10,094.28",5.88975
125.60001,0.20933,"10,094.82",5.89763
125.70001,0.2095,"10,094.59",5.90535
125.8,0.20966,"10,094.57",5.91323
125.90001,0.20983,"10,094.17",5.92104
126.00001,0.21,"10,095.08",5.92873
126.10001,0.21016,"10,095.43",5.93645
126.20001,0.21034,"10,095.70",5.94451
126.3,0.2105,"10,095.65",5.95219
126.40001,0.21066,"10,094.71",5.9597
126.50001,0.21083,"10,094.99",5.96757
126.60001,0.211,"10,095.13",5.9752
126.70001,0.21117,"10,096.06",5.98308
126.8,0.21133,"10,096.54",5.99086
126.90001,0.2115,"10,096.03",5.99855
127.00001,0.21167,"10,096.49",6.00659
127.10001,0.21183,"10,095.61",6.01406
127.20001,0.212,"10,096.26",6.02182
127.3,0.21217,"10,097.16",6.02971
127.40001,0.21233,"10,096.85",6.03739
127.50001,0.2125,"10,097.15",6.04519
127.60001,0.21266,"10,096.97",6.05298
127.70001,0.21283,"10,097.10",6.06067
127.8,0.213,"10,097.24",6.06855
127.90001,0.21317,"10,097.57",6.0762
128,0.21333,"10,098.07",6.0842
128.10001,0.2135,"10,097.42",6.09196
128.20002,0.21367,"10,098.02",6.09958
128.3,0.21383,"10,098.35",6.10757
128.40001,0.214,"10,098.48",6.11521
128.5,0.21417,"10,099.17",6.12315
128.60001,0.21433,"10,098.06",6.13091
128.70002,0.2145,"10,098.58",6.13867
128.8,0.21466,"10,098.46",6.14654
128.90001,0.21483,"10,098.80",6.15435
129,0.215,"10,100.08",6.16228
129.10001,0.21516,"10,098.76",6.17029
129.20002,0.21533,"10,099.26",6.17789
129.3,0.21549,"10,098.78",6.18571
129.40001,0.21566,"10,098.52",6.19355
129.5,0.21583,"10,099.93",6.20137
129.60001,0.216,"10,100.18",6.20925
129.70002,0.21617,"10,099.94",6.21708
129.8,0.21633,"10,099.52",6.22489
129.90001,0.2165,"10,099.61",6.23275
130,0.21666,"10,099.90",6.24051
130.10001,0.21683,"10,100.31",6.24856
130.20002,0.217,"10,101.12",6.25653
130.3,0.21716,"10,100.11",6.26413
130.40001,0.21733,"10,099.84",6.27209
130.5,0.2175,"10,100.14",6.2801
130.60001,0.21766,"10,099.99",6.28769
130.70002,0.21783,"10,101.31",6.29566
130.8,0.218,"10,100.46",6.30354
130.90001,0.21816,"10,100.47",6.31147
131,0.21833,"10,100.43",6.31924
131.1,0.2185,"10,100.26",6.32694
131.20002,0.21867,"10,102.17",6.33513
131.3,0.21884,"10,101.32",6.34304
131.40002,0.219,"10,101.07",6.35076
131.5,0.21916,"10,100.72",6.3587
131.6,0.21933,"10,099.97",6.36651
131.70002,0.2195,"10,100.81",6.37434
131.8,0.21967,"10,101.43",6.38214
