Time (sec),Extension (in),Load (lbf),Strain 1 (%)
347.20,0.58,13658.97,-1.75
347.30,0.58,13656.20,-1.75
347.40,0.58,13654.85,-1.75
347.50,0.58,13652.97,-1.75
347.60,0.58,13651.29,-1.75
347.70,0.58,13650.44,-1.75
347.80,0.58,13648.99,-1.75
347.90,0.58,13646.46,-1.75
348.00,0.58,13643.98,-1.75
348.10,0.58,13641.33,-1.75
348.20,0.58,13640.28,-1.75
348.30,0.58,13638.96,-1.75
348.40,0.58,13637.39,-1.75
348.50,0.58,13634.19,-1.75
348.60,0.58,13632.45,-1.75
348.70,0.58,13631.25,-1.75
348.80,0.58,13629.18,-1.75
348.90,0.58,13629.03,-1.75
349.00,0.58,13625.34,-1.75
349.10,0.58,13622.70,-1.75
349.20,0.58,13620.62,-1.75
349.30,0.58,13618.89,-1.75
349.40,0.58,13617.26,-1.75
349.50,0.58,13615.45,-1.75
349.60,0.58,13612.93,-1.75
349.70,0.58,13609.61,-1.75
349.80,0.58,13607.31,-1.75
349.90,0.58,13606.47,-1.75
350.00,0.58,13604.23,-1.75
350.10,0.58,13602.84,-1.75
350.20,0.58,13599.68,-1.75
350.30,0.58,13596.35,-1.75
350.40,0.58,13595.12,-1.75
350.50,0.58,13592.20,-1.75
350.60,0.58,13590.78,-1.75
350.70,0.58,13587.73,-1.75
350.80,0.58,13584.41,-1.75
350.90,0.58,13583.34,-1.75
351.00,0.59,13579.88,-1.75
351.10,0.59,13578.71,-1.75
351.20,0.59,13576.33,-1.75
351.30,0.59,13573.10,-1.75
351.40,0.59,13570.55,-1.75
351.50,0.59,13567.78,-1.75
351.60,0.59,13565.64,-1.75
351.70,0.59,13562.93,-1.75
351.80,0.59,13560.37,-1.75
351.90,0.59,13557.29,-1.75
352.00,0.59,13554.08,-1.75
352.10,0.59,13552.06,-1.75
352.20,0.59,13548.86,-1.75
352.30,0.59,13546.56,-1.75
352.40,0.59,13543.13,-1.75
352.50,0.59,13539.13,-1.75
352.60,0.59,13537.57,-1.75
352.70,0.59,13534.23,-1.75
352.80,0.59,13531.88,-1.74
352.90,0.59,13528.62,-1.75
353.00,0.59,13523.99,-1.75
353.10,0.59,13521.35,-1.75
353.20,0.59,13517.11,-1.75
353.30,0.59,13513.70,-1.75
353.40,0.59,13510.49,-1.75
353.50,0.59,13505.97,-1.75
353.60,0.59,13501.33,-1.75
353.70,0.59,13496.11,-1.75
353.80,0.59,13492.30,-1.75
353.90,0.59,13487.60,-1.75
354.00,0.59,13481.61,-1.75
354.10,0.59,13474.46,-1.75
354.20,0.59,13460.85,-1.75
354.30,0.59,13432.94,-1.75
354.40,0.59,13383.01,-1.75
354.46,0.59,13325.15,-1.75
354.46,0.59,13219.53,-1.75
354.47,0.59,12998.76,-1.75
354.47,0.59,12606.48,-1.75
354.47,0.59,12085.29,-1.74
354.47,0.59,11486.14,-1.74
354.47,0.59,10818.61,-1.74
354.48,0.59,10088.40,-1.74
354.48,0.59,9327.69,-1.74
354.48,0.59,8566.98,-1.74
354.48,0.59,7813.26,-1.74
